id,name,host_id,host_name,host_is_superhost,neighbourhood,neighbourhood_group_cleansed,beds,price,review_scores_rating
9882706,Home in Bozeman · ★4.89 · 3 bedrooms · 3 beds · 2 baths,50844446,Jaymie,t,Bozeman, Montana, United States,,3,$225.00,4.89
10194083,Home in Bozeman · ★4.98 · 2 bedrooms · 2 beds · 1 bath,52362737,Terra,f,Bozeman, Montana, United States,,2,$249.00,4.98
10282173,Home in Bozeman · ★4.94 · 2 bedrooms · 2 beds · 1 bath,8979185,Laura,t,Bozeman, Montana, United States,,2,$145.00,4.94
10616342,Hostel in Bozeman · ★4.62 · 1 bedroom · 1 bed · 2 shared baths,49746531,Nina,f,,,1,$73.00,4.62
11337733,Guest suite in Bozeman · ★4.90 · 1 bedroom · 1 bed · 1 bath,59339691,Allison,t,Bozeman, Montana, United States,,1,$126.00,4.9
11379100,Home in Bozeman · ★4.81 · Studio · 1 bed · 1 bath,8224408,Paul,t,Bozeman, Montana, United States,,1,$135.00,4.81
11394263,Home in Bozeman · ★5.0 · 3 bedrooms · 4 beds · 2.5 baths,59781492,Andrew,f,Bozeman, Montana, United States,,4,$109.00,5.0
12675495,Townhouse in Bozeman · ★4.93 · 3 bedrooms · 5 beds · 1 bath,68872256,Meagan And Michael,t,Bozeman, Montana, United States,,5,$160.00,4.93
13747912,Home in Bozeman · ★4.85 · 1 bedroom · 2 beds · 1 bath,80521705,Anna,t,Bozeman, Montana, United States,,2,$152.00,4.85
13797463,Rental unit in Bozeman · ★4.82 · 2 bedrooms · 2 beds · 1 bath,81112095,Serena,t,Bozeman, Montana, United States,,2,$122.00,4.82
14041374,Home in Bozeman · ★5.0 · 5 bedrooms · 6 beds · 3.5 baths,20987607,Jacki,f,,,6,$400.00,5.0
14093005,Home in Bozeman · ★4.94 · 4 bedrooms · 5 beds · 2 baths,74996144,Gary,t,Bozeman, Montana, United States,,5,$307.00,4.94
14487902,Condo in Bozeman · ★4.85 · 3 bedrooms · 8 beds · 2 baths,77150382,Mary,f,Bozeman, Montana, United States,,8,$264.00,4.85
14769819,Home in Bozeman · ★4.89 · 1 bedroom · 1 bed · 1 private bath,84377290,E-T,f,Bozeman, Montana, United States,,1,$68.00,4.89
15284883,Loft in Bozeman · ★4.89 · 1 bedroom · 2 beds · 1 bath,97282807,Natalie,f,,,2,$188.00,4.89
